Company,Website,Category,City,Alumni in the company?
9troisquarts,http://www.9troisquarts.com/,agency,Roubaix,no
Abtion,https://abtion.com/,agency,Copenhagen,yes
Adomik,http://www.adomik.com/,product,Paris,no
af83,http://af83.com/,agency,Paris,Yes
Agorize,http://www.agorize.com/,product,Paris,yes
Aircall,https://aircall.io/,product,Paris,yes
Algolia,https://www.algolia.com/,product,Paris,yes
Alpine Lab,http://www.alpine-lab.com/,agency,Lyon,yes
Appaloosa Store,https://www.appaloosa-store.com/,product,Paris,yes
Applidium,http://applidium.com/,agency,Paris,yes
Augment,http://www.augment.com/,product,Paris,no
Autobutler,https://www.autobutler.dk/,product,Copenhagen,no
Plato,https://www.platohq.com/our_mentors.html,product,Paris,yes
Boaterfly,http://www.boaterfly.com/,product,Paris,no
Brand and Celebrities,http://www.brandandcelebrities.com,product,Paris,yes
Capsens,http://www.capsens.eu,product,Paris,yes
Captain Contrat,https://www.captaincontrat.com/,product,Paris,yes
Central du sport,https://www.lacentraledusport.fr,product,Saint-etienne,yes
Clic2Buy,http://www.clic2buy.com/,product,Lille,no
Colisweb,http://www.colisweb.com/,product,Lille,no
Deligreens,https://www.deligreens.com/,product,Lyon,yes
Dimelo,http://www.dimelo.com/,product,Lille,no
Dimelo,http://www.dimelo.com/,product,Paris,no
Dividom,https://www.dividom.com/,product,Lille,no
Doctolib,https://www.doctolib.fr/,product,Paris,yes
Donkey Republic,https://www.donkey.bike/,product,Copenhagen,no
Doumit,http://www.doum.it,agency,Lille,yes
Drivy,https://www.drivy.com/,product,Paris,yes
Effilab,http://www.effilab.com/,product,Boulogne-Billancourt,yes
Ekimetrics,https://www.ekimetrics.com/,product,Paris,no
Ekylibre,http://ekylibre.com/,product,Pessac,yes
En Voiture Simone,https://www.envoituresimone.com/,product,Paris,yes
Kactus,https://www.kactus.com/,product,Paris,yes
Faveod,http://www.faveod.com/,product,Paris,no
FidMarques,https://www.fidmarques.com/,product,Paris,no
Fidzup,http://www.fidzup.com/,product,Paris,yes
Fizzer,https://www.fizzer.fr/,product,Paris,yes
Frizbiz,https://www.frizbiz.com/,product,Lille,no
GoMore,https://www.gomore.dk,product,Copenhagen,no
Karnov Group,https://www.karnovgroup.dk/,product,Copenhagen,yes
Lifen,https://www.lifen.fr/,product,Paris,yes
Hospimedia,http://www.hospimedia.fr/,product,Lille,no
Hostnfly,http://hostnfly.com,product,Paris,yes
Ifeelgoods,https://www.ifeelgoods.com/,product,Paris,no
iMenlo,http://www.imenlo.com,agency,Paris,no
Impala Webstudio,http://www.impala-webstudio.fr/,agency,Lille,no
Inch,https://inch.fr/,product,Paris,no
Insiti ,https://insiti.com/,product,Paris,yes
Je Rêve d'une Maison,http://www.jerevedunemaison.com/,product,Paris,no
JobTeaser.com,http://www.jobteaser.com/fr,product,Paris,yes
Keycoopt,https://www.keycoopt.com/,product,Lille,no
KissKissBankBank,http://www.kisskissbankbank.com/,product,Paris,yes
A-Line,https://www.aline.work,product,Paris,yes
Le Wagon,http://www.lewagon.com/,bootcamp,Paris,yes
LeCollectionist,https://www.lecollectionist.com/,product,Paris,yes
Leikir web,http://web.leikir.io/,agency,Paris,yes
Libertrip,https://www.libertrip.com/,product,Lille,no
LiveMentor,https://www.livementor.com/,product,Paris,yes
Localers,https://www.localers.com/,product,Paris,no
Meal canteen,https://www.mealcanteen.fr/,product,Saint-etienne,yes
MediaTech Solutions,http://www.mediatech-solutions.com/,product,Paris,no
Neocamino,https://www.neocamino.com/,product,Lyon,yes
Nine Consult,https://nine.dk/,agency,Copenhagen,yes
Numa,https://numa.co/,incubator,Paris,no
Ochelys,http://www.ochelys.com/,agence,Lyon,no
OnePark,https://www.onepark.fr/,product,Paris,no
Ozact,http://www.ozact.net/,product,Paris,no
Pandacraft,https://www.pandacraft.fr/,product,Paris,no
PayCar,https://www.paycar.fr/,product,Paris,no
Per Angusta,http://www.per-angusta.com/,product,Lyon,no
Permigo,https://www.permigo.com/,product,Lyon,no
Prium Solutions,http://prium-solutions.com/,agency,Paris,yes
Shopmium,https://www.shopmium.com/,product,Paris,no
Silicon Salad,http://www.siliconsalad.com,agency,Lille,no
Skello,https://www.skello.io/,product,Paris,yes
Skilder,http://www.skilder.fr/,product,Lyon,no
Snapshift,https://snapshift.co/,product,Paris,no
SociAddict,http://www.sociaddict.com/,agency,Paris,no
Speaken,https://speaken.com/,product,Paris,no
Sqreen,https://www.sqreen.io/,product,Paris,no
Stuart,https://stuart.com/,product,Paris, no
Synbioz,https://www.synbioz.com/,agency,Lille Nantes Paris,no
talent.io,https://www.talent.io,product,Paris Berlin London,yes
Teezily,http://teezily.com/,product,Paris,no
Tilkee,http://www.tilkee.fr,product,Lyon,yes
Trainline,https://www.trainline.eu/,product,Paris,yes
Tymate,http://tymate.com/,agency,Lille,no
Vivino,https://www.vivino.com/,product,Copenhagen,no
Vodeclic,http://vodeclic.com/,product,Levallois,no
Klaxit,https://www.klaxit.com/,product,Paris,yes
Welcome to the Jungle,https://www.welcometothejungle.co/,product,Paris,yes
Wedressfair,https://www.wedressfair.fr/,product,Lyon,yes
Wizville,https://wizville.fr/fr/,product,Paris,no
Yespark,https://www.yespark.fr/,product,Paris,no
Youboox,https://www.youboox.fr/,product,Paris,no
Deko,https://www.dekopay.com/,product,London,yes
Fixter,https://www.fixter.co.uk/,product,UK-wide,yes
Alpha FX group,https://www.alphafx.co.uk/,agency,London,yes
Kota Creative,https://www.kotacreative.co.uk/,agency,London,yes
Kinder,https://www.kinder.com/uk/en/,product,Europe,yes
FastGardener,https://www.fastgardener.com/,product,London,yes
Skills Matter,https://skillsmatter.com/about-us,product,London,yes
Deviceful,http://deviceful.co.uk/,product,London,yes
Open House Media,https://openhousem.co.uk/,agency,Northampton,yes
Vinterior,https://www.vinterior.co/,product,London,yes
Zendesk,https://www.zendesk.com/,product,Copenhagen,no
Zetland,https://www.zetland.dk/,product,Copenhagen,no
Babbel,https://www.babbel.com/,Startup,Berlin,yes
Wunder,https://wunder.org,Startup,Hamburg,No
Nebenan.de,https://nebenan.de/,Startup,Berlin,No
SuitePad,http://www.suitepad.de/,Startup,Berlin,No
Trecker,https://www.trecker.com/,Startup,Berlin,No
POSpulse,http://www.pospulse.com/,Startup,Berlin,No
Modomoto,http://modomoto.com/,Startup,Berlin,No
Grover,https://getgrover.com/de,Startup,Berlin,No
Adjust,https://www.adjust.com/,Startup,Berlin,yes
Finleap,https://www.finleap.com,Company Builder,Berlin,No
Casper,https://casper.com,Startup,Berlin,No
Project A,https://www.project-a.com,Company Builder,Berlin,No
